individual_id,age,gender,education_level,vocational_training_completed,employment_status,years_in_camp,ngo_livelihood_program_participation,access_to_microfinance,access_to_savings_group,owns_business,number_of_dependents,digital_skills_level,movement_restriction_perceived,access_to_market_opportunities,primary_employment_barrier,job_search_duration_months,monthly_income_kes,financial_stability_score
18,34,Male,Primary,Yes,Unemployed,11,Yes,No,Yes,Yes,2,Medium,High,Poor,Low Market Demand,12,7292.0,56.0
19,27,Female,Secondary,No,Employed,8,No,Yes,Yes,No,1,Low,High,Poor,Discrimination,10,10602.0,75.0
20,33,Male,Secondary,Yes,Unemployed,17,No,Yes,No,No,1,Low,Low,Good,Lack of Capital,12,2355.0,19.0
21,32,Male,College,Yes,Unemployed,7,Yes,No,No,No,1,Low,Moderate,Poor,No Work Permit,12,11309.0,81.0
22,32,Male,Primary,No,Unemployed,7,No,No,Yes,Yes,2,Low,High,Poor,No Work Permit,12,4870.0,37.0
23,29,Female,University,No,Employed,4,No,No,No,No,2,Medium,High,Good,Discrimination,4,18513.0,100.0
24,20,Female,Secondary,No,Unemployed,4,No,No,Yes,Yes,4,Low,Moderate,Fair,Movement Restriction,12,3192.0,29.0
25,22,Female,Secondary,No,Self-employed,11,No,No,Yes,No,1,Medium,High,Poor,Limited Education,12,12337.0,89.0
26,24,Female,Unknown,No,Unemployed,5,No,No,No,No,3,Medium,Moderate,Poor,Low Market Demand,12,3416.0,29.0
27,26,Male,Secondary,No,Unemployed,7,No,No,No,No,5,Low,High,Fair,Lack of Capital,12,0.0,27.0
28,24,Female,Unknown,No,Unemployed,14,No,Yes,Yes,No,1,Medium,High,Fair,Low Market Demand,8,6822.0,60.0
29,35,Male,Primary,Yes,Self-employed,2,Yes,No,No,No,3,Medium,High,Good,No Work Permit,10,8880.0,52.0
30,21,Male,University,Yes,Employed,8,No,No,No,No,4,Low,Moderate,Fair,Low Market Demand,1,16847.0,100.0
31,31,Female,Secondary,Yes,Self-employed,10,Yes,No,No,Yes,4,Low,High,Good,Discrimination,12,12391.0,70.0
32,35,Female,College,Yes,Unemployed,14,No,Yes,No,No,5,Low,Moderate,Poor,No Work Permit,12,15572.0,94.0
33,26,Male,University,Yes,Unemployed,15,Yes,Yes,Yes,Yes,3,Low,High,Poor,Movement Restriction,12,9094.0,70.0
34,19,Male,Tvet,Yes,Employed,11,No,No,No,No,0,Low,Low,Fair,Movement Restriction,2,12594.0,92.0
35,32,Female,Unknown,No,Unemployed,7,Yes,No,Yes,No,3,Low,High,Fair,No Work Permit,12,4194.0,34.0
36,24,Female,Secondary,Yes,Employed,19,Yes,No,Yes,No,1,Medium,Low,Fair,Discrimination,4,17467.0,100.0
37,29,Male,College,Yes,Unemployed,6,No,No,No,No,3,High,High,Poor,Limited Education,1,6218.0,44.0
38,25,Female,Primary,No,Self-employed,7,Yes,No,No,No,5,Low,Moderate,Good,Limited Education,12,9487.0,62.0
39,32,Male,Secondary,Yes,Unemployed,4,Yes,No,No,No,0,Low,High,Fair,Discrimination,12,11276.0,77.0
40,20,Male,College,No,Employed,14,No,No,No,No,2,High,Low,Good,Lack of Capital,12,18929.0,100.0
41,31,Male,Unknown,No,Employed,5,No,No,No,No,0,High,High,Poor,Limited Education,7,13603.0,78.0
42,34,Male,Unknown,Yes,Unemployed,11,Yes,No,No,No,5,Low,Moderate,Poor,Movement Restriction,7,8671.0,54.0
43,21,Female,University,Yes,Self-employed,16,No,No,No,Yes,4,Low,High,Poor,Movement Restriction,6,18221.0,100.0
44,35,Male,Secondary,No,Unemployed,7,No,No,No,Yes,0,Low,High,Good,Movement Restriction,12,4361.0,52.0
45,25,Other,College,Yes,Self-employed,16,Yes,No,No,No,4,Medium,High,Poor,No Work Permit,7,12552.0,75.0
46,21,Female,Unknown,Yes,Self-employed,18,No,No,Yes,No,4,Medium,High,Fair,No Work Permit,12,7054.0,54.0
47,19,Male,University,Yes,Employed,9,No,No,Yes,Yes,0,High,Moderate,Poor,Movement Restriction,12,13446.0,81.0
48,23,Male,Tvet,No,Unemployed,8,No,No,No,Yes,1,Low,Moderate,Fair,No Work Permit,2,4071.0,44.0
49,27,Female,Unknown,Yes,Unemployed,14,No,No,No,No,2,High,High,Poor,Movement Restriction,6,10613.0,54.0
50,21,Male,College,Yes,Employed,8,No,No,No,No,0,Low,High,Fair,No Work Permit,3,21100.0,100.0
51,35,Female,Unknown,No,Unemployed,6,No,Yes,Yes,No,3,Medium,Low,Poor,Lack of Capital,3,1216.0,23.0
52,29,Male,Primary,No,Self-employed,11,No,No,No,No,5,High,High,Poor,Low Market Demand,9,11317.0,58.0
53,19,Male,Secondary,No,Unemployed,13,No,No,No,No,0,Low,Moderate,Good,No Work Permit,7,6822.0,58.0
54,27,Female,Tvet,No,Self-employed,1,Yes,No,Yes,No,3,Low,High,Fair,Low Market Demand,1,11026.0,83.0
55,21,Male,Unknown,No,Unemployed,1,No,No,No,No,4,Low,High,Fair,Discrimination,12,549.0,6.0
56,31,Female,Unknown,Yes,Employed,9,Yes,No,Yes,No,4,Low,High,Poor,Lack of Capital,10,12681.0,90.0
57,33,Male,Unknown,No,Unemployed,5,Yes,No,No,No,3,Low,Moderate,Good,Lack of Capital,12,3614.0,49.0
58,32,Female,University,Yes,Self-employed,7,Yes,No,No,No,2,Medium,High,Fair,Limited Education,3,17670.0,100.0
59,25,Female,Secondary,No,Employed,15,No,No,No,No,1,Low,High,Poor,Low Market Demand,8,11632.0,85.0
60,31,Female,Primary,Yes,Employed,6,No,No,No,No,5,Medium,Low,Fair,No Work Permit,6,13979.0,82.0
61,25,Female,Tvet,Yes,Unemployed,1,No,No,Yes,No,2,Medium,Moderate,Good,Discrimination,11,1078.0,26.0
62,33,Male,Tvet,No,Unemployed,6,No,No,No,No,2,High,Moderate,Fair,No Work Permit,12,2426.0,40.0
63,30,Female,University,No,Self-employed,11,Yes,No,No,No,1,Low,Low,Fair,Low Market Demand,6,13972.0,92.0
64,35,Male,Unknown,No,Self-employed,15,No,No,No,No,1,Medium,Moderate,Fair,Discrimination,7,13516.0,91.0
65,32,Female,College,No,Unemployed,18,Yes,Yes,No,No,5,Medium,High,Good,Lack of Capital,12,4721.0,35.0
66,30,Male,College,No,Unemployed,10,No,No,No,No,5,Medium,Moderate,Fair,Low Market Demand,11,6252.0,42.0
67,26,Male,College,Yes,Employed,10,No,Yes,No,No,0,Low,Moderate,Fair,Low Market Demand,7,9121.0,81.0
68,32,Female,Tvet,No,Unemployed,18,No,No,No,No,2,Medium,High,Fair,No Work Permit,12,4049.0,54.0
69,30,Male,Unknown,No,Unemployed,8,No,No,No,No,4,Low,Moderate,Fair,Lack of Capital,7,5318.0,63.0
70,18,Female,College,Yes,Unemployed,6,No,No,Yes,No,5,Low,Moderate,Fair,No Work Permit,12,5777.0,42.0
71,24,Female,Unknown,No,Employed,15,Yes,No,No,No,3,High,High,Good,Lack of Capital,5,12371.0,76.0
72,26,Male,University,Yes,Unemployed,1,No,No,Yes,No,2,Medium,High,Poor,Low Market Demand,12,3979.0,50.0
73,18,Female,Primary,No,Self-employed,19,No,Yes,Yes,No,0,Low,Moderate,Fair,Low Market Demand,9,11308.0,74.0
74,29,Male,Secondary,No,Employed,18,No,No,Yes,Yes,5,Low,High,Poor,Discrimination,12,11028.0,90.0
75,25,Female,University,Yes,Employed,4,Yes,No,No,No,1,Medium,Low,Fair,Discrimination,7,14726.0,92.0
76,28,Female,Unknown,No,Employed,8,No,Yes,No,Yes,5,Medium,Moderate,Fair,No Work Permit,12,15181.0,100.0
77,34,Male,Unknown,No,Unemployed,8,No,No,Yes,No,0,Low,High,Poor,No Work Permit,1,7466.0,55.0
78,25,Female,Primary,No,Employed,5,Yes,No,No,No,1,Medium,Low,Poor,No Work Permit,8,8531.0,64.0
79,20,Male,Tvet,No,Employed,16,No,Yes,No,No,1,Medium,Moderate,Good,Discrimination,12,10104.0,58.0
80,20,Female,Secondary,No,Self-employed,11,No,No,Yes,Yes,3,Medium,Low,Good,Movement Restriction,12,4477.0,51.0
81,18,Female,Tvet,No,Unemployed,11,Yes,No,No,No,2,Low,Low,Fair,No Work Permit,1,1282.0,23.0
82,22,Female,College,Yes,Employed,14,No,No,Yes,No,5,Low,High,Good,No Work Permit,12,18205.0,100.0
83,27,Female,Secondary,No,Unemployed,11,No,Yes,Yes,Yes,4,Low,Moderate,Poor,Discrimination,12,7290.0,68.0
84,24,Male,Tvet,No,Self-employed,13,No,No,Yes,No,5,Low,Moderate,Poor,No Work Permit,10,16200.0,100.0
85,26,Male,Secondary,Yes,Self-employed,8,Yes,No,Yes,Yes,4,Low,Moderate,Poor,Limited Education,12,8985.0,67.0
86,24,Female,Secondary,Yes,Unemployed,14,No,No,No,Yes,3,Low,High,Fair,Lack of Capital,4,7800.0,68.0
87,26,Male,Secondary,Yes,Employed,1,Yes,No,No,No,2,Low,High,Fair,Limited Education,12,11515.0,80.0
88,25,Female,Unknown,Yes,Unemployed,19,No,No,No,No,1,Medium,Moderate,Fair,Discrimination,12,3364.0,30.0
89,29,Female,Primary,Yes,Unemployed,5,No,No,No,No,1,Medium,High,Fair,Movement Restriction,12,515.0,20.0
90,19,Female,Secondary,Yes,Unemployed,4,No,No,No,No,0,Low,Moderate,Fair,Movement Restriction,9,6255.0,54.0
91,18,Male,College,No,Unemployed,4,No,No,No,No,2,Low,Low,Poor,Discrimination,12,9209.0,84.0
92,33,Male,Tvet,No,Unemployed,2,No,Yes,No,No,3,Medium,Low,Fair,No Work Permit,12,7114.0,52.0
93,22,Male,Tvet,No,Employed,8,No,No,Yes,No,0,Low,Low,Fair,Lack of Capital,12,8927.0,60.0
94,20,Male,Primary,No,Employed,16,No,No,Yes,No,0,Medium,High,Good,No Work Permit,12,11938.0,86.0
95,29,Male,University,No,Self-employed,14,No,No,Yes,No,3,High,High,Good,Lack of Capital,12,11667.0,99.0
96,25,Female,Unknown,No,Self-employed,16,No,No,No,Yes,0,Low,High,Poor,Movement Restriction,12,3622.0,54.0
97,20,Male,College,Yes,Self-employed,9,Yes,Yes,Yes,Yes,2,Medium,High,Poor,Movement Restriction,12,12382.0,83.0
98,18,Male,College,Yes,Unemployed,8,No,Yes,No,No,5,Medium,High,Poor,Low Market Demand,12,6515.0,52.0
99,20,Female,Secondary,No,Self-employed,13,Yes,No,No,No,1,Low,Moderate,Good,Limited Education,3,11447.0,98.0
100,22,Female,College,No,Self-employed,5,No,No,No,No,3,Low,Moderate,Fair,Low Market Demand,9,12897.0,80.0
101,32,Male,Unknown,No,Unemployed,13,No,No,No,No,3,Medium,Moderate,Poor,Limited Education,12,6237.0,29.0
102,31,Female,Unknown,No,Employed,13,No,Yes,No,No,5,Low,Moderate,Fair,No Work Permit,5,2941.0,20.0
103,20,Male,Primary,Yes,Unemployed,5,Yes,Yes,Yes,No,2,Low,High,Fair,Discrimination,12,2853.0,31.0
104,18,Male,Primary,Yes,Unemployed,14,No,No,No,Yes,2,Medium,Moderate,Poor,Lack of Capital,12,7295.0,62.0
105,22,Female,University,No,Self-employed,9,No,No,No,No,0,Low,High,Fair,Discrimination,3,11555.0,81.0
106,31,Female,University,Yes,Employed,17,Yes,No,Yes,No,2,Low,Moderate,Fair,Discrimination,12,21342.0,100.0
107,24,Male,Secondary,No,Unemployed,19,No,Yes,Yes,No,5,Low,Moderate,Good,Low Market Demand,12,4609.0,46.0
108,26,Male,College,No,Employed,5,No,No,Yes,No,3,High,High,Poor,Lack of Capital,6,11904.0,83.0
109,32,Male,Secondary,Yes,Employed,8,No,No,No,No,5,Medium,High,Poor,Movement Restriction,8,11235.0,79.0
110,32,Female,Secondary,Yes,Unemployed,19,No,No,Yes,No,3,Medium,High,Poor,Low Market Demand,12,2755.0,28.0
111,27,Male,Secondary,Yes,Employed,3,Yes,No,Yes,No,5,Medium,Moderate,Poor,Limited Education,12,7696.0,57.0
112,30,Male,Secondary,No,Self-employed,11,No,No,Yes,No,2,High,Low,Poor,Low Market Demand,7,10151.0,52.0
113,24,Male,Tvet,No,Employed,10,No,Yes,Yes,Yes,3,Low,Moderate,Poor,Lack of Capital,12,13760.0,89.0
114,34,Female,University,Yes,Unemployed,6,No,No,No,No,2,Low,Moderate,Poor,Lack of Capital,12,17200.0,100.0
115,21,Male,Primary,No,Self-employed,19,No,No,No,No,5,Low,High,Fair,Lack of Capital,12,15286.0,86.0
116,22,Female,Secondary,Yes,Employed,14,Yes,No,Yes,No,5,Low,High,Poor,Low Market Demand,12,8979.0,69.0
117,24,Male,University,No,Unemployed,2,No,No,Yes,No,1,Low,Moderate,Poor,Low Market Demand,7,6798.0,72.0
118,30,Male,Secondary,No,Self-employed,5,No,Yes,No,No,3,High,High,Good,Limited Education,9,7749.0,53.0
119,32,Female,Secondary,Yes,Unemployed,13,No,No,Yes,No,0,Medium,Low,Good,Lack of Capital,12,9084.0,84.0
120,28,Female,Secondary,No,Employed,12,Yes,No,Yes,No,5,Low,High,Fair,Lack of Capital,12,13146.0,94.0
121,21,Male,Secondary,No,Self-employed,8,No,No,Yes,No,0,Low,Moderate,Fair,Discrimination,9,16442.0,89.0
122,30,Male,Tvet,Yes,Employed,18,Yes,No,Yes,No,5,Medium,Low,Poor,No Work Permit,3,13955.0,86.0
123,24,Male,University,Yes,Employed,17,No,Yes,Yes,No,2,Low,High,Fair,Low Market Demand,12,18677.0,100.0
124,19,Female,Primary,Yes,Self-employed,11,No,No,Yes,No,2,Low,Moderate,Fair,Lack of Capital,12,9713.0,72.0
125,27,Female,College,No,Employed,15,No,No,No,Yes,1,Low,High,Poor,No Work Permit,3,17753.0,100.0
126,30,Female,Secondary,Yes,Employed,5,No,No,No,No,5,High,High,Poor,Low Market Demand,11,17585.0,100.0
127,23,Male,Secondary,Yes,Unemployed,19,No,No,Yes,No,4,Medium,Moderate,Fair,No Work Permit,12,8136.0,59.0
128,29,Female,University,No,Employed,13,No,No,No,No,5,Medium,High,Good,Lack of Capital,12,15198.0,89.0
129,29,Male,Secondary,Yes,Self-employed,17,Yes,No,No,No,0,Medium,Moderate,Good,No Work Permit,12,8825.0,68.0
130,28,Male,University,No,Employed,19,No,Yes,No,No,3,Medium,Moderate,Poor,Lack of Capital,7,14876.0,82.0
131,24,Female,Primary,No,Unemployed,4,No,Yes,No,Yes,1,Low,High,Fair,Movement Restriction,12,6789.0,54.0
132,18,Male,University,Yes,Unemployed,5,No,No,No,No,2,High,Moderate,Fair,Lack of Capital,12,5578.0,56.0
133,18,Male,Primary,No,Unemployed,1,No,No,No,Yes,3,Medium,Moderate,Poor,Lack of Capital,9,7955.0,57.0
134,30,Male,College,No,Unemployed,12,Yes,Yes,Yes,Yes,0,Medium,Low,Poor,Discrimination,12,2389.0,31.0
135,26,Female,Tvet,No,Employed,10,No,No,No,No,4,Medium,High,Fair,No Work Permit,3,11648.0,90.0
136,20,Female,Tvet,No,Employed,13,No,Yes,No,No,4,Low,High,Poor,Lack of Capital,5,11509.0,90.0
137,24,Male,College,No,Unemployed,19,Yes,No,Yes,No,3,Low,High,Poor,No Work Permit,1,7151.0,76.0
138,23,Female,Secondary,No,Unemployed,16,No,No,Yes,No,1,Low,High,Fair,Discrimination,1,4841.0,39.0
139,25,Female,University,Yes,Unemployed,2,Yes,Yes,Yes,No,1,High,Moderate,Fair,Lack of Capital,12,8847.0,61.0
140,26,Female,College,Yes,Unemployed,9,No,Yes,Yes,No,5,High,High,Poor,Low Market Demand,1,2895.0,18.0
141,22,Female,Primary,No,Unemployed,5,No,Yes,Yes,No,3,Low,Moderate,Poor,Limited Education,7,4145.0,59.0
142,18,Male,Secondary,Yes,Employed,11,Yes,Yes,No,No,0,Low,High,Poor,Movement Restriction,10,11191.0,77.0
143,27,Male,University,Yes,Employed,4,No,No,Yes,No,2,Low,Moderate,Fair,Limited Education,12,16610.0,84.0
144,29,Female,Tvet,No,Unemployed,19,No,No,No,No,1,Low,Moderate,Fair,Discrimination,12,6296.0,37.0
145,32,Female,College,Yes,Employed,8,Yes,No,Yes,No,5,Medium,High,Poor,Low Market Demand,12,20871.0,100.0
146,26,Male,Secondary,No,Employed,16,No,No,No,No,3,Medium,Low,Fair,Discrimination,4,13636.0,93.0
147,34,Male,Tvet,No,Unemployed,17,Yes,Yes,No,No,0,High,Moderate,Fair,Low Market Demand,7,5857.0,61.0
148,34,Male,University,No,Self-employed,11,No,No,No,No,0,Low,High,Good,Limited Education,12,18133.0,100.0
149,29,Male,Unknown,No,Employed,9,No,No,Yes,No,3,Low,Low,Poor,Lack of Capital,5,9181.0,59.0
150,24,Male,University,No,Unemployed,9,No,Yes,Yes,No,3,Medium,Moderate,Poor,No Work Permit,12,3084.0,30.0
151,19,Female,Secondary,No,Employed,7,No,Yes,No,No,3,High,High,Fair,Limited Education,12,14770.0,82.0
152,20,Male,Unknown,Yes,Employed,1,No,No,No,Yes,2,Medium,Moderate,Good,Movement Restriction,12,1801.0,21.0
153,34,Female,College,No,Unemployed,3,No,Yes,Yes,Yes,0,Low,High,Fair,No Work Permit,9,8889.0,54.0
154,22,Female,Secondary,No,Unemployed,9,Yes,No,Yes,No,1,Low,High,Good,Discrimination,8,8110.0,65.0
155,34,Female,Secondary,No,Unemployed,16,No,No,No,No,4,Medium,Low,Poor,Limited Education,8,6448.0,43.0
156,34,Male,Primary,Yes,Employed,14,No,No,No,Yes,4,Medium,Low,Poor,Lack of Capital,12,11224.0,78.0
157,34,Female,Secondary,No,Employed,15,No,Yes,No,No,5,Medium,High,Poor,Limited Education,12,7411.0,55.0
158,19,Female,Tvet,No,Self-employed,4,No,Yes,No,No,1,High,Low,Poor,No Work Permit,12,11555.0,80.0
159,19,Male,Secondary,Yes,Unemployed,15,No,No,No,No,4,Low,Moderate,Good,No Work Permit,12,1606.0,31.0
160,22,Female,Tvet,No,Unemployed,11,Yes,No,Yes,Yes,4,Medium,Moderate,Poor,Discrimination,12,1557.0,34.0
161,18,Female,Tvet,Yes,Employed,17,Yes,Yes,Yes,Yes,4,Medium,High,Fair,Movement Restriction,7,12376.0,88.0
162,18,Male,Tvet,No,Unemployed,9,Yes,Yes,Yes,No,3,Medium,Low,Poor,Low Market Demand,1,3304.0,31.0
163,19,Male,University,No,Employed,13,No,Yes,No,No,4,Low,High,Poor,Discrimination,12,7545.0,63.0
164,29,Male,Unknown,No,Employed,3,No,No,No,No,4,Low,High,Poor,Limited Education,12,7020.0,53.0
165,23,Male,Tvet,No,Unemployed,2,No,Yes,No,Yes,5,Medium,High,Fair,Low Market Demand,11,10269.0,74.0
166,21,Male,Primary,No,Unemployed,3,No,No,Yes,No,3,Low,High,Good,Movement Restriction,12,7547.0,79.0
167,28,Female,University,Yes,Employed,16,No,No,No,No,3,Low,Moderate,Fair,Movement Restriction,12,14477.0,100.0
168,34,Female,Unknown,Yes,Unemployed,14,No,Yes,No,No,5,Low,High,Poor,Lack of Capital,12,2275.0,29.0
169,23,Female,Unknown,No,Employed,4,Yes,No,No,No,3,Medium,Low,Fair,Movement Restriction,10,15087.0,96.0
170,22,Male,Secondary,No,Employed,3,No,No,No,No,2,Low,High,Poor,Lack of Capital,12,10781.0,75.0
171,19,Female,Secondary,No,Unemployed,16,No,No,No,Yes,5,Medium,Moderate,Poor,No Work Permit,12,0.0,25.0
172,23,Female,Secondary,Yes,Employed,18,No,No,No,Yes,4,Medium,High,Fair,Lack of Capital,12,7201.0,71.0
173,28,Female,Unknown,No,Employed,6,Yes,No,No,No,3,Medium,High,Poor,Limited Education,12,14851.0,96.0
174,33,Female,Secondary,No,Unemployed,16,Yes,No,Yes,No,4,Low,High,Good,Discrimination,12,8161.0,46.0
175,33,Male,Secondary,No,Unemployed,8,No,No,Yes,Yes,5,Medium,High,Good,No Work Permit,7,0.0,36.0
176,18,Male,Tvet,No,Self-employed,2,No,No,Yes,No,3,Medium,Moderate,Poor,No Work Permit,10,9907.0,57.0
177,26,Female,Unknown,No,Employed,1,Yes,No,No,No,2,Low,Low,Good,Discrimination,1,11038.0,78.0
178,23,Female,Tvet,No,Unemployed,13,No,No,Yes,No,0,High,High,Poor,Low Market Demand,12,7520.0,60.0
179,33,Other,Secondary,Yes,Unemployed,18,Yes,No,No,Yes,5,Low,High,Good,No Work Permit,12,11791.0,82.0
180,20,Female,Secondary,Yes,Unemployed,5,No,No,No,No,4,Low,High,Poor,No Work Permit,12,8184.0,62.0
181,21,Female,University,No,Unemployed,1,No,No,Yes,Yes,2,Low,Moderate,Fair,Discrimination,12,9712.0,63.0
182,20,Male,Primary,No,Employed,16,No,No,No,No,1,Low,Low,Poor,Discrimination,12,12840.0,84.0
183,24,Female,Unknown,No,Unemployed,14,Yes,No,Yes,No,4,Low,Moderate,Poor,Limited Education,12,948.0,38.0
184,26,Female,Unknown,Yes,Self-employed,15,No,No,Yes,Yes,2,High,High,Good,Limited Education,12,13954.0,80.0
185,18,Male,Primary,No,Self-employed,10,Yes,No,No,No,1,Medium,Moderate,Poor,Lack of Capital,3,1190.0,29.0
186,25,Male,University,Yes,Self-employed,16,Yes,No,Yes,No,2,Medium,High,Poor,No Work Permit,5,17010.0,93.0
187,24,Male,Unknown,Yes,Employed,9,No,No,Yes,Yes,3,Low,Moderate,Poor,Lack of Capital,12,12544.0,85.0
188,35,Female,University,Yes,Employed,4,Yes,No,No,Yes,5,Medium,Moderate,Fair,Lack of Capital,12,14298.0,100.0
189,25,Male,Secondary,No,Self-employed,11,No,No,No,No,0,High,High,Good,Movement Restriction,2,12911.0,78.0
190,18,Female,Unknown,No,Unemployed,19,No,Yes,No,No,1,Low,High,Good,Movement Restriction,12,0.0,18.0
191,28,Male,Secondary,Yes,Unemployed,16,No,Yes,No,Yes,1,Low,High,Fair,Low Market Demand,12,2136.0,36.0
192,35,Male,Secondary,No,Employed,9,Yes,No,No,No,1,Medium,Moderate,Poor,No Work Permit,9,9918.0,54.0
193,27,Male,Tvet,No,Employed,12,No,No,No,No,2,Medium,High,Good,Limited Education,11,7883.0,39.0
194,20,Male,Unknown,Yes,Employed,2,No,No,No,Yes,5,Medium,Moderate,Fair,Lack of Capital,9,10762.0,72.0
195,24,Male,Secondary,Yes,Unemployed,11,No,No,No,Yes,0,Medium,Low,Poor,Limited Education,9,3272.0,53.0
196,33,Male,College,No,Self-employed,19,No,No,Yes,No,2,Low,Low,Poor,Lack of Capital,12,11282.0,71.0
197,33,Female,Unknown,Yes,Employed,8,No,Yes,Yes,No,4,High,High,Fair,Discrimination,7,11100.0,70.0
198,34,Male,Secondary,No,Unemployed,11,Yes,No,No,No,1,Medium,High,Fair,No Work Permit,7,2391.0,15.0
199,19,Female,Primary,Yes,Self-employed,16,No,No,No,No,5,Medium,Low,Poor,Low Market Demand,7,9661.0,76.0
200,18,Male,Secondary,No,Unemployed,9,No,No,Yes,Yes,2,Low,Moderate,Poor,Discrimination,4,4981.0,70.0
201,33,Male,Secondary,No,Unemployed,11,No,Yes,Yes,Yes,4,Medium,Low,Poor,Lack of Capital,9,12158.0,85.0
202,29,Male,Primary,No,Employed,13,No,No,No,Yes,4,Medium,Moderate,Fair,Low Market Demand,12,13112.0,83.0
203,22,Female,University,No,Employed,17,No,No,Yes,No,1,Low,Low,Poor,Lack of Capital,12,11913.0,82.0
204,22,Female,Primary,No,Unemployed,11,No,Yes,No,Yes,0,Low,High,Poor,Limited Education,12,0.0,19.0
205,26,Male,Secondary,No,Employed,11,No,No,Yes,No,4,Medium,Low,Fair,Movement Restriction,12,14214.0,93.0
206,26,Female,Unknown,Yes,Employed,18,Yes,No,No,No,3,Low,Moderate,Poor,Low Market Demand,6,11933.0,64.0
207,20,Other,Primary,No,Employed,12,No,No,No,No,3,Low,Moderate,Poor,Discrimination,12,12810.0,84.0
208,33,Male,Unknown,No,Employed,9,Yes,No,No,Yes,3,Low,Low,Fair,Lack of Capital,12,8480.0,50.0
209,33,Female,Tvet,No,Unemployed,7,No,Yes,No,Yes,5,Low,Moderate,Fair,Lack of Capital,1,3262.0,39.0
210,20,Male,University,No,Employed,9,No,No,Yes,No,3,Low,Low,Fair,Limited Education,6,21192.0,100.0
211,18,Female,Secondary,Yes,Unemployed,10,Yes,Yes,No,No,1,Low,Moderate,Poor,Limited Education,12,9457.0,71.0
212,28,Male,Unknown,No,Self-employed,10,Yes,No,Yes,No,4,Medium,Moderate,Good,Limited Education,7,8401.0,67.0
213,34,Female,Secondary,No,Employed,15,No,No,No,No,0,Low,Low,Poor,Low Market Demand,12,14105.0,93.0
214,25,Female,Secondary,No,Unemployed,5,No,No,Yes,No,1,Medium,Moderate,Good,Limited Education,6,6432.0,52.0
215,21,Male,Secondary,No,Employed,12,No,No,No,No,1,Low,Moderate,Good,Lack of Capital,8,9983.0,79.0
216,23,Female,College,No,Unemployed,19,Yes,No,No,No,0,Low,Low,Fair,Lack of Capital,12,5986.0,42.0
217,25,Female,Secondary,No,Unemployed,3,No,No,No,No,1,Low,High,Poor,No Work Permit,12,7787.0,48.0
218,20,Male,Tvet,No,Unemployed,9,No,No,Yes,No,2,Medium,High,Good,Limited Education,12,7672.0,43.0
219,33,Male,Secondary,No,Unemployed,18,No,Yes,No,No,1,Low,Moderate,Fair,Discrimination,12,1065.0,24.0
220,20,Male,Tvet,Yes,Unemployed,1,No,No,No,No,4,Low,High,Fair,Limited Education,12,9857.0,59.0
221,35,Female,College,No,Unemployed,14,No,No,No,No,1,Medium,Low,Poor,Lack of Capital,12,1284.0,6.0
